Start Time,End Time,Tag,Note,Tree Type,Is Success
Sat Sep 01 14:36:00 GMT+08:00 2018,Sat Sep 01 15:01:00 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sat Sep 01 17:27:19 GMT+08:00 2018,Sat Sep 01 17:52:19 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sun Sep 02 15:57:21 GMT+08:00 2018,Sun Sep 02 16:22:21 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Tue Sep 04 21:25:25 GMT+08:00 2018,Tue Sep 04 21:50:25 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Tue Sep 04 22:18:09 GMT+08:00 2018,Tue Sep 04 22:43:09 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Sat Sep 08 15:02:45 GMT+08:00 2018,Sat Sep 08 15:27:45 GMT+08:00 2018,Guitar,,Ginkgo,TRUE
Tue Jun 11 19:21:41 GMT+08:00 2019,Tue Jun 11 19:46:41 GMT+08:00 2019,Unset,,Cedar,TRUE
Tue Jun 11 21:25:41 GMT+08:00 2019,Tue Jun 11 21:50:41 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Jun 11 22:12:08 GMT+08:00 2019,Tue Jun 11 22:37:08 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Wed Jun 12 07:53:55 GMT+08:00 2019,Wed Jun 12 08:23:55 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Wed Jun 12 08:55:26 GMT+08:00 2019,Wed Jun 12 09:25:26 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 13:08:11 GMT+08:00 2019,Wed Jun 12 13:38:11 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 15:14:48 GMT+08:00 2019,Wed Jun 12 15:44:48 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 16:22:59 GMT+08:00 2019,Wed Jun 12 16:52:59 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 18:26:26 GMT+08:00 2019,Wed Jun 12 18:56:26 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 20:40:37 GMT+08:00 2019,Wed Jun 12 21:10:37 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 12 22:35:39 GMT+08:00 2019,Wed Jun 12 23:05:39 GMT+08:00 2019,Unset,,Cedar,TRUE
Thu Jun 13 12:53:43 GMT+08:00 2019,Thu Jun 13 13:23:43 GMT+08:00 2019,Unset,,Cedar,TRUE
Thu Jun 13 13:42:31 GMT+08:00 2019,Thu Jun 13 14:12:31 GMT+08:00 2019,Unset,,Cedar,TRUE
Thu Jun 13 15:19:37 GMT+08:00 2019,Thu Jun 13 15:49:37 GMT+08:00 2019,Unset,,Cedar,TRUE
Fri Jun 14 22:00:20 GMT+08:00 2019,Fri Jun 14 22:25:20 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Fri Jun 14 23:20:09 GMT+08:00 2019,Fri Jun 14 23:50:09 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sat Jun 15 00:18:23 GMT+08:00 2019,Sat Jun 15 00:48:23 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sat Jun 15 00:57:38 GMT+08:00 2019,Sat Jun 15 01:42:38 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sat Jun 15 14:33:03 GMT+08:00 2019,Sat Jun 15 15:03:03 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sat Jun 15 16:13:45 GMT+08:00 2019,Sat Jun 15 16:43:45 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sun Jun 16 08:37:03 GMT+08:00 2019,Sun Jun 16 09:07:03 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sun Jun 16 10:11:57 GMT+08:00 2019,Sun Jun 16 10:41:57 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sun Jun 16 18:12:46 GMT+08:00 2019,Sun Jun 16 18:42:46 GMT+08:00 2019,Unset,,Cedar,TRUE
Sun Jun 16 22:58:24 GMT+08:00 2019,Sun Jun 16 23:28:24 GMT+08:00 2019,Unset,,Cedar,TRUE
Mon Jun 17 00:53:40 GMT+08:00 2019,Mon Jun 17 01:23:40 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
